x_interval,y_interval,count,percentage,Pitch_Number,alpha
"(36.0, 40.0)","(116.0, 120.0)",0,0.0,300,0.0
"(40.0, 44.0)","(0.0, 4.0)",26,0.06,301,0.09059233449477352
"(40.0, 44.0)","(4.0, 8.0)",242,0.58,302,0.8432055749128919
"(40.0, 44.0)","(8.0, 12.0)",130,0.31,303,0.4529616724738676
"(40.0, 44.0)","(12.0, 16.0)",120,0.29,304,0.4181184668989547
"(40.0, 44.0)","(16.0, 20.0)",87,0.21,305,0.30313588850174217
"(40.0, 44.0)","(20.0, 24.0)",51,0.12,306,0.17770034843205576
"(40.0, 44.0)","(24.0, 28.0)",58,0.14,307,0.20209059233449478
"(40.0, 44.0)","(28.0, 32.0)",60,0.14,308,0.20905923344947736
"(40.0, 44.0)","(32.0, 36.0)",85,0.2,309,0.2961672473867596
"(40.0, 44.0)","(36.0, 40.0)",72,0.17,310,0.2508710801393728
"(40.0, 44.0)","(40.0, 44.0)",118,0.28,311,0.41114982578397213
"(40.0, 44.0)","(44.0, 48.0)",89,0.21,312,0.31010452961672474
"(40.0, 44.0)","(48.0, 52.0)",80,0.19,313,0.2787456445993031
"(40.0, 44.0)","(52.0, 56.0)",176,0.42,314,0.6132404181184669
"(40.0, 44.0)","(56.0, 60.0)",194,0.47,315,0.6759581881533101
"(40.0, 44.0)","(60.0, 64.0)",287,0.69,316,1.0
"(40.0, 44.0)","(64.0, 68.0)",129,0.31,317,0.44947735191637633
"(40.0, 44.0)","(68.0, 72.0)",50,0.12,318,0.17421602787456447
"(40.0, 44.0)","(72.0, 76.0)",63,0.15,319,0.21951219512195122
"(40.0, 44.0)","(76.0, 80.0)",85,0.2,320,0.2961672473867596
"(40.0, 44.0)","(80.0, 84.0)",62,0.15,321,0.21602787456445993
"(40.0, 44.0)","(84.0, 88.0)",63,0.15,322,0.21951219512195122
"(40.0, 44.0)","(88.0, 92.0)",38,0.09,323,0.13240418118466898
"(40.0, 44.0)","(92.0, 96.0)",22,0.05,324,0.07665505226480836
"(40.0, 44.0)","(96.0, 100.0)",19,0.05,325,0.06620209059233449
"(40.0, 44.0)","(100.0, 104.0)",21,0.05,326,0.07317073170731707
"(40.0, 44.0)","(104.0, 108.0)",11,0.03,327,0.03832752613240418
"(40.0, 44.0)","(108.0, 112.0)",1,0.0,328,0.003484320557491289
"(40.0, 44.0)","(112.0, 116.0)",0,0.0,329,0.0
"(40.0, 44.0)","(116.0, 120.0)",1,0.0,330,0.003484320557491289
"(44.0, 48.0)","(0.0, 4.0)",36,0.09,331,0.1254355400696864
"(44.0, 48.0)","(4.0, 8.0)",162,0.39,332,0.5644599303135889
"(44.0, 48.0)","(8.0, 12.0)",106,0.26,333,0.3693379790940767
"(44.0, 48.0)","(12.0, 16.0)",107,0.26,334,0.37282229965156793
"(44.0, 48.0)","(16.0, 20.0)",30,0.07,335,0.10452961672473868
"(44.0, 48.0)","(20.0, 24.0)",62,0.15,336,0.21602787456445993
"(44.0, 48.0)","(24.0, 28.0)",54,0.13,337,0.18815331010452963
"(44.0, 48.0)","(28.0, 32.0)",46,0.11,338,0.1602787456445993
"(44.0, 48.0)","(32.0, 36.0)",76,0.18,339,0.26480836236933797
"(44.0, 48.0)","(36.0, 40.0)",60,0.14,340,0.20905923344947736
"(44.0, 48.0)","(40.0, 44.0)",108,0.26,341,0.37630662020905925
"(44.0, 48.0)","(44.0, 48.0)",77,0.19,342,0.2682926829268293
"(44.0, 48.0)","(48.0, 52.0)",99,0.24,343,0.34494773519163763
"(44.0, 48.0)","(52.0, 56.0)",132,0.32,344,0.45993031358885017
"(44.0, 48.0)","(56.0, 60.0)",142,0.34,345,0.49477351916376305
"(44.0, 48.0)","(60.0, 64.0)",132,0.32,346,0.45993031358885017
