Pitch_Number,count,x_interval,y_interval,percentage,alpha
228,194.0,"(45.0, 50.0)","(55.0, 60.0)",0.004947212730147396,0.5373961218836565
229,161.0,"(45.0, 50.0)","(60.0, 65.0)",0.004105676544091396,0.44598337950138506
230,97.0,"(45.0, 50.0)","(65.0, 70.0)",0.002473606365073698,0.26869806094182824
231,126.0,"(45.0, 50.0)","(70.0, 75.0)",0.0032131381649410924,0.3490304709141274
232,116.0,"(45.0, 50.0)","(75.0, 80.0)",0.002958127199469577,0.32132963988919666
233,80.0,"(45.0, 50.0)","(80.0, 85.0)",0.002040087723772122,0.22160664819944598
234,57.0,"(45.0, 50.0)","(85.0, 90.0)",0.001453562503187637,0.15789473684210525
235,59.0,"(45.0, 50.0)","(90.0, 95.0)",0.0015045646962819402,0.1634349030470914
236,43.0,"(45.0, 50.0)","(95.0, 100.0)",0.0010965471515275156,0.11911357340720222
237,23.0,"(45.0, 50.0)","(100.0, 105.0)",0.0005865252205844851,0.06371191135734072
238,14.0,"(45.0, 50.0)","(105.0, 110.0)",0.0003570153516601214,0.038781163434903045
239,9.0,"(45.0, 50.0)","(110.0, 115.0)",0.00022950986892436375,0.024930747922437674
240,4.0,"(45.0, 50.0)","(115.0, 120.0)",0.00010200438618860611,0.0110803324099723
241,26.0,"(50.0, 55.0)","(0.0, 5.0)",0.0006630285102259397,0.07202216066481995
242,41.0,"(50.0, 55.0)","(5.0, 10.0)",0.0010455449584332126,0.11357340720221606
243,83.0,"(50.0, 55.0)","(10.0, 15.0)",0.002116591013413577,0.2299168975069252
244,54.0,"(50.0, 55.0)","(15.0, 20.0)",0.0013770592135461824,0.14958448753462603
245,106.0,"(50.0, 55.0)","(20.0, 25.0)",0.002703116233998062,0.29362880886426596
246,105.0,"(50.0, 55.0)","(25.0, 30.0)",0.0026776151374509104,0.29085872576177285
247,92.0,"(50.0, 55.0)","(30.0, 35.0)",0.0023461008823379404,0.2548476454293629
248,97.0,"(50.0, 55.0)","(35.0, 40.0)",0.002473606365073698,0.26869806094182824
249,171.0,"(50.0, 55.0)","(40.0, 45.0)",0.004360687509562911,0.47368421052631576
250,207.0,"(50.0, 55.0)","(45.0, 50.0)",0.005278726985260366,0.5734072022160664
251,170.0,"(50.0, 55.0)","(50.0, 55.0)",0.00433518641301576,0.4709141274238227
252,171.0,"(50.0, 55.0)","(55.0, 60.0)",0.004360687509562911,0.47368421052631576
253,198.0,"(50.0, 55.0)","(60.0, 65.0)",0.005049217116336002,0.5484764542936288
